ano,rodada,time_casa,time_fora,gcasa,gfora
2003,40,atletico_mg,criciuma_sc,1,1,
2003,40,fortaleza_ce,cruzeiro_mg,1,2,
2003,40,figueirense_sc,paysandu_pa,6,0,
2003,40,santos_sp,corinthians_sp,3,1,
2003,40,juventude_rs,flamengo_rj,2,2,
2003,40,vitoria_ba,goiás_go,3,4,
2003,40,vasco_rj,inter_rs,0,1,
2003,40,saopaulo_sp,coritiba_pr,1,0,
2003,41,parana_pr,figueirense_sc,1,1,
2003,41,inter_rs,fortaleza_ce,1,1,
2003,41,juventude_rs,criciuma_sc,3,1,
2003,41,paysandu_pa,vasco_rj,1,2,
2003,41,coritiba_pr,corinthians_sp,1,0,
2003,41,saopaulo_sp,fluminense_rj,1,0,
2003,41,cruzeiro_mg,gremio_rs,3,0,
2003,41,santos_sp,vitoria_ba,3,1,
2003,41,goiás_go,atletico_pr,4,1,
2003,41,guarani_sp,saocaetano_sp,0,1,
2003,41,bahia_ba,pontepreta_sp,1,0,
2003,41,flamengo_rj,atletico_mg,3,2,
2003,42,fluminense_rj,coritiba_pr,3,2,
2003,42,gremio_rs,paysandu_pa,2,0,
2003,42,criciuma_sc,parana_pr,1,2,
2003,42,pontepreta_sp,santos_sp,3,4,
2003,42,fortaleza_ce,flamengo_rj,4,1,
2003,42,figueirense_sc,juventude_rs,2,1,
2003,42,atletico_pr,saopaulo_sp,4,3,
2003,42,saocaetano_sp,bahia_ba,4,1,
2003,42,vasco_rj,cruzeiro_mg,0,1,
2003,42,vitoria_ba,guarani_sp,0,0,
2003,42,corinthians_sp,goiás_go,2,0,
2003,42,atletico_mg,inter_rs,1,2,
2003,43,coritiba_pr,pontepreta_sp,1,1,
2003,43,figueirense_sc,inter_rs,3,2,
2003,43,atletico_mg,fortaleza_ce,2,0,
2003,43,flamengo_rj,criciuma_sc,1,0,
2003,43,gremio_rs,vasco_rj,4,3,
2003,43,parana_pr,cruzeiro_mg,1,3,
2003,43,santos_sp,fluminense_rj,3,1,
2003,43,bahia_ba,atletico_pr,0,2,
2003,43,saocaetano_sp,goiás_go,1,0,
2003,43,paysandu_pa,juventude_rs,3,2,
2003,43,saopaulo_sp,vitoria_ba,3,1,
2003,43,guarani_sp,corinthians_sp,0,1,
2003,44,vasco_rj,figueirense_sc,1,0,
2003,44,juventude_rs,atletico_mg,1,0,
2003,44,atletico_pr,guarani_sp,3,1,
2003,44,fluminense_rj,saocaetano_sp,2,1,
2003,44,inter_rs,flamengo_rj,3,1,
2003,44,cruzeiro_mg,paysandu_pa,2,1,
2003,44,goiás_go,santos_sp,3,0,
2003,44,criciuma_sc,gremio_rs,0,2,
2003,44,fortaleza_ce,parana_pr,5,3,
2003,44,vitoria_ba,coritiba_pr,1,0,
2003,44,corinthians_sp,bahia_ba,1,2,
2003,44,pontepreta_sp,saopaulo_sp,1,2,
2003,45,vitoria_ba,atletico_mg,0,1,
2003,45,goiás_go,figueirense_sc,0,3,
2003,45,atletico_pr,vasco_rj,2,2,
2003,45,corinthians_sp,parana_pr,1,1,
2003,45,guarani_sp,paysandu_pa,2,1,
2003,45,cruzeiro_mg,fluminense_rj,5,2,
2003,45,fortaleza_ce,coritiba_pr,2,2,
2003,45,flamengo_rj,pontepreta_sp,1,1,
2003,45,santos_sp,gremio_rs,2,2,
2003,45,criciuma_sc,bahia_ba,3,2,
2003,45,inter_rs,saopaulo_sp,1,1,
2003,45,juventude_rs,saocaetano_sp,2,1,
2003,46,saocaetano_sp,inter_rs,5,0,
2003,46,parana_pr,vitoria_ba,2,0,
2003,46,coritiba_pr,criciuma_sc,2,0,
2003,46,atletico_mg,goiás_go,3,2,
2003,46,figueirense_sc,guarani_sp,2,0,
2003,46,bahia_ba,cruzeiro_mg,0,7,
2003,46,gremio_rs,corinthians_sp,3,0,
2003,46,paysandu_pa,atletico_pr,2,2,
